barcode,name,net_cost,category
7792200000128,9 de Oro dulce,843.00,galletas
7792200000159,9 de Oro bizcochos,843.00,galletas
7795735000335,Don Satur dulce,920.00,galletas
7795735000328,Don Satur bizcochos,920.00,galletas
7622201736033,Cerealitas,1374.00,galletas
7790040143586,Media Tarde,965.00,galletas
7798126073796,Gaona anillitos limón,980.00,galletas
7798126073765,Gaona mantecaditas,1050.00,galletas
7791787000040,Pepa trío,1496.00,galletas
7793450000944,Ronda tablitas,860.00,galletas
7793450000128,Hojalmar,930.00,galletas
7790369000249,Tapitas,1242.00,galletas
7792180007346,Paseo multicereal,1037.00,galletas
7797675001045,Chips Turimar,1500.00,galletas
7790040147720,Surtido Bagley,2379.00,galletas
7791324157466,Pitusa frutilla,800.00,galletas
7791324157046,Pitusa chocolate,800.00,galletas
7622201735296,Oreo,1300.00,galletas
7790040143517,Rumba,1000.00,galletas
7790040143531,Amor galletitas,1000.00,galletas
7790040143623,Vocación x3,200.00,galletas
7790380023432,Tody galletitas,1200.00,galletas
